kód;"kód (UIPŠ)";"kód (UIPŠ2)";"kód (CRŠ 1)";"kód miesta štúdia";"kód školy";"kód fakulty";typeJoint;"kód formy štúdia";"kód získaného titulu";"dĺžka štúdia";"stupeň štúdia";"kód študijného odboru 1";"kód študijného odboru 2";financovanie_1;financovanie_2;studijnyodbor_vedlajsi;názov;prog_typ;subject;"jazyk PaT";profOriented;akreditacny_spis;"pozastavenie od";"akreditácia od";"akreditácia do";"platné od";"platné do";"jazyky poskytovania";"v procese KA"
104355;;3973T07;;;702000000;702030000;;1;01;2;2;2381T00;2675T00;4;4;1;"aplikovaná elektrotechnika";0;;;0;"ex offo";;2019-10-30;2022-07-19;2022-07-19;;1;0
104356;;3973T07;;;702000000;702030000;;1;01;2;2;2381T00;2675T00;4;4;1;"aplikovaná elektrotechnika";0;;;0;"ex offo";;2019-10-30;2022-07-19;2022-07-19;;14;0
184492;;2675T39;;;702000000;702030000;;1;01;2;2;2675T00;;0;0;0;"aplikovaná elektrotechnika";0;;;0;2021/90:3244-OAC;;2021-12-01;;2021-11-04;;14;0
16607;2511800;2511T00;;;702000000;702030000;;1;01;2;2;2508T00;;4;4;;"aplikovaná informatika";0;;;0;2015-18811/46628:3-15A0;;2015-11-09;;2019-09-01;;14;0
104607;2511800;2511T00;;;702000000;702030000;;1;01;2;2;2508T00;;4;4;;"aplikovaná informatika";0;;;0;"ex offo";;2015-11-09;2022-08-08;2022-08-08;;1;0
12084;;2511V00;;;702000000;702030000;;1;53;3;3;2508V00;;19;19;0;"aplikovaná informatika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104371;;2511V00;;;702000000;702030000;;1;53;3;3;2508V00;;19;19;0;"aplikovaná informatika";0;;;0;"ex offo";;2015-11-09;;2019-09-01;;1;0
104372;;2511V00;;;702000000;702030000;;1;53;3;3;2508V00;;19;19;0;"aplikovaná informatika";0;;;0;"ex offo";;2015-11-09;;2019-09-01;;1,14;0
104611;;2511R00;;;702000000;702030000;;1;15;3;1;2508R00;;4;4;;"aplikovaná informatika";0;;;0;"ex offo";;2019-07-30;2022-07-19;2022-07-19;;1;0
16605;;2511R00;;;702000000;702030000;;1;15;3;1;2508R00;;4;4;;"aplikovaná informatika";0;;;0;2019/11076:6-A1110;;2019-07-30;;2019-09-01;;14;0
100560;;1114V00;;;702000000;702030000;;1;53;3;3;1113V00;;19;19;0;"aplikovaná matematika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
12899;1114900;1114V00;10820;;702000000;702030000;;1;53;3;3;1113V00;;19;19;0;"aplikovaná matematika";0;;;0;;;2009-09-14;2012-08-31;2019-09-01;;14;0
4074;;2387T14;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;0;"aplikovaná mechatronika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104377;;2387T16;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;;"aplikovaná mechatronika a elektromobilita";0;;;0;"ex offo";;2018-06-18;2022-07-19;2022-07-19;;1;0
104378;;2387T16;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;;"aplikovaná mechatronika a elektromobilita";0;;;0;2018/6569:8-15A0;;2018-06-18;;2019-09-01;;14;0
12896;;2621V02;;;702000000;702030000;;1;53;3;3;2647V00;;19;19;0;"automatizácia a riadenie";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
16603;;2613R13;;;702000000;702030000;;1;15;3;1;2675R00;;4;4;0;"automobilová elektronika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104610;;2387R09;;;702000000;702030000;;1;15;3;1;2647R00;;4;4;;"automobilová mechatronika";0;;;0;"ex offo";;2019-07-30;2022-07-19;2022-07-19;;1;0
